stamp,self_id,target_id,com_global_x,com_global_y,com_global_z,gt_x,gt_y,gt_z,com_error_x,com_error_y,com_error_z,com_error_norm,com_stamp_dt
158.900000000,1,0,-0.225124369,-0.357130656,2.861722843,-0.000885629,0.009221176,2.850040498,-0.224238740,-0.366351832,0.011682346,0.429689602,-0.200000000
158.900000000,1,2,2.006201443,1.554169067,2.808919746,2.003897148,2.034863438,2.806886259,0.002304295,-0.480694371,0.002033487,0.480704195,-0.200000000
158.900000000,1,3,-0.069278888,1.644581138,2.868078862,-0.003872054,2.033793106,2.847128212,-0.065406833,-0.389211968,0.020950650,0.395225176,-0.100000000
159.000000000,1,0,-0.195907439,-0.405370677,2.880102015,-0.001206976,0.008636713,2.861734673,-0.194700463,-0.414007390,0.018367342,0.457873070,-0.200000000
159.000000000,1,2,1.917476719,1.508084415,2.820685283,2.004576104,2.034829410,2.819013428,-0.087099385,-0.526744995,0.001671854,0.533900166,-0.200000000
159.000000000,1,3,-0.090582756,1.632858908,2.892828707,-0.006985953,2.034366377,2.859548093,-0.083596803,-0.401507469,0.033280614,0.411466004,-0.100000000
159.100000000,1,0,-0.186288665,-0.430267900,2.889365537,-0.001492396,0.008244461,2.868982226,-0.184796268,-0.438512361,0.020383311,0.476296369,-0.200000000
159.100000000,1,2,1.927098521,1.481451456,2.837169602,2.005213487,2.034763322,2.826374412,-0.078114965,-0.553311866,0.010795189,0.558902947,-0.200000000
159.100000000,1,3,-0.080608924,1.589999540,2.905446661,-0.008851234,2.034642953,2.867079125,-0.071757690,-0.444643414,0.038367537,0.452027653,-0.100000000
159.200000000,1,0,-0.213205631,-0.469352436,2.908804996,-0.001993074,0.007659672,2.878817409,-0.211212556,-0.477012108,0.029987586,0.522542391,-0.200000000
159.200000000,1,2,1.966306554,1.497345328,2.848023936,2.006342067,2.034623473,2.836225679,-0.040035513,-0.537278145,0.011798258,0.538896879,-0.200000000
159.200000000,1,3,-0.031141452,1.581580992,2.913522349,-0.011227219,2.034910032,2.876855238,-0.019914233,-0.453329040,0.036667111,0.455245288,-0.100000000
159.300000000,1,0,-0.189998827,-0.497618253,2.908918331,-0.002398647,0.007217753,2.885153555,-0.187600180,-0.504836005,0.023764777,0.539089960,-0.200000000
159.300000000,1,2,1.960533932,1.482833943,2.857841225,2.007185124,2.034497203,2.842439177,-0.046651192,-0.551663260,0.015402048,0.553846468,-0.200000000
159.300000000,1,3,-0.060419305,1.577884148,2.912817174,-0.012628551,2.035022325,2.882918340,-0.047790754,-0.457138176,0.029898834,0.460600921,-0.100000000
159.400000000,1,0,-0.207543912,-0.479631332,2.914030849,-0.003141668,0.006432883,2.894537621,-0.204402244,-0.486064214,0.019493228,0.527653943,-0.200000000
159.400000000,1,2,1.916704279,1.487048674,2.864464729,2.008496063,2.034201168,2.851407374,-0.091791785,-0.547152494,0.013057355,0.554952320,-0.200000000
159.400000000,1,3,-0.109111727,1.522203842,2.917676569,-0.014502365,2.035124054,2.891668421,-0.094609362,-0.512920212,0.026008148,0.522220738,-0.100000000
159.500000000,1,0,-0.243231618,-0.491746348,2.935865687,-0.003980725,0.005650410,2.903021423,-0.239250893,-0.497396758,0.032844264,0.552922482,-0.200000000
