stamp,oracle,com_dt_0,com_age_0,com_dt_1,com_age_1,com_dt_3,com_age_3,uwb_dt,uwb_age,camera_dt,camera_age,ins_dt,ins_age,gt_dt,gt_age,mission_stage,uwb_stddev,camera_msg_fresh,camera_raw_count,camera_valid_target,camera_angle_constraints,camera_xy_constraints,camera_used_in_cost,camera_target_mask,P_opt_x,P_opt_y,P_opt_z
28.527333333,0,0.036666667,0.036666667,-0.025333333,0.025333333,-0.011333333,0.011333333,-0.017333333,0.017333333,-0.123333333,0.123333333,-0.003333333,0.003333333,-0.003333333,0.003333333,3,0.065000000,1,0,0,0,0,0,0,0.122364507,-0.084199870,3.056017898
28.549629630,0,-0.027407408,0.027407408,0.027037037,0.027037037,0.000370370,0.000370370,0.000370370,0.000370370,-0.145629630,0.145629630,-0.005629630,0.005629630,0.010370370,0.010370370,3,0.065000000,1,0,0,0,0,0,0,0.128278017,-0.054618943,3.052376660
28.918444444,0,-0.053111111,0.053111111,0.007555556,0.007555556,0.045555556,0.045555556,-0.008444444,0.008444444,-0.214444444,0.214444444,0.007555556,0.007555556,-0.010444444,0.010444444,3,0.065000000,1,0,0,0,0,0,0,0.022780705,0.020126311,3.057543652
28.909851852,0,0.048814815,0.048814815,-0.031407408,0.031407408,-0.017407408,0.017407408,0.000148148,0.000148148,-0.105851852,0.105851852,-0.003851852,0.003851852,-0.001851852,0.001851852,3,0.065000000,1,0,0,0,0,0,0,0.012196884,-0.016654708,3.057557752
28.935679012,0,-0.039234568,0.039234568,0.033876544,0.033876544,0.005358025,0.005358025,0.014320988,0.014320988,0.068320988,0.068320988,-0.009679012,0.009679012,0.006320988,0.006320988,3,0.065000000,1,0,0,0,0,0,0,-0.013215841,0.015325646,3.057543652
29.294296296,0,-0.029629629,0.029629629,0.031703704,0.031703704,-0.002074074,0.002074074,-0.024296296,0.024296296,-0.190296296,0.190296296,-0.008296296,0.008296296,0.001703704,0.001703704,3,0.065000000,1,0,0,0,0,0,0,0.006165840,0.062952263,3.050069859
29.301506173,0,0.032567901,0.032567901,-0.023283951,0.023283951,-0.009283951,0.009283951,-0.031506173,0.031506173,-0.197506173,0.197506173,0.002493827,0.002493827,-0.005506173,0.005506173,3,0.065000000,1,0,0,0,0,0,0,0.033134408,-0.021769794,3.050003298
29.310482853,0,-0.022235940,0.022235940,0.026282579,0.026282579,-0.004046639,0.004046639,0.039517147,0.039517147,-0.006482853,0.006482853,-0.006482853,0.006482853,-0.014482853,0.014482853,3,0.065000000,1,0,0,0,0,0,0,-0.009831328,-0.002613055,3.050003298
29.573022405,0,-0.163955190,0.163955190,0.052977595,0.052977595,0.110977595,0.110977595,0.016977595,0.016977595,-0.269022405,0.269022405,-0.009022405,0.009022405,-0.015022405,0.015022405,3,0.065000000,1,0,0,0,0,0,0,0.107604540,0.062580617,3.059126570
29.642785246,0,0.021881421,0.021881421,0.081214754,0.081214754,-0.103096174,0.103096174,-0.012785246,0.012785246,-0.138785246,0.138785246,0.001214754,0.001214754,-0.010785246,0.010785246,3,0.065000000,1,0,0,0,0,0,0,-0.067336647,0.152602347,3.044547216
