stamp,stage,subphase,uav_id,gt_x,gt_y,gt_z,gt_vx,gt_vy,gt_vz,gt_speed_xy,cmd_speed_xy,target_dist_xy,arrived_flag,min_pairwise_distance,target_x,target_y,target_z
26.102000,3,0,0,-1.289809,-1.299144,3.003442,-0.272637,-0.264782,0.000000,0.380053,0.121042,0.169458,0,4.586386,-1.414208,-1.414213,3.000000
26.102000,3,0,1,3.301093,-1.288137,3.001999,0.272555,-0.278969,0.000000,0.390013,0.120993,0.169390,0,4.586386,3.414220,-1.414214,3.000000
26.102000,3,0,2,3.296600,3.298246,3.001610,0.280341,0.272565,0.000000,0.391002,0.117982,0.165175,0,4.586386,3.414220,3.414213,3.000000
26.102000,3,0,3,-1.303001,3.301432,3.000367,-0.261620,0.268959,0.000000,0.375212,0.113134,0.158387,0,4.586386,-1.414208,3.414214,3.000000
26.202000,3,0,0,-1.314543,-1.323016,3.003947,-0.247346,-0.238717,0.000000,0.343752,0.096495,0.135093,0,4.636497,-1.414208,-1.414213,3.000000
26.202000,3,0,1,3.325942,-1.313590,3.001429,0.248499,-0.254527,0.000000,0.355719,0.095613,0.133858,0,4.636497,3.414220,-1.414214,3.000000
26.202000,3,0,2,3.322251,3.322905,3.002000,0.256512,0.246588,0.000000,0.355815,0.092569,0.129597,0,4.636497,3.414220,3.414213,3.000000
26.202000,3,0,3,-1.326615,3.325921,3.000793,-0.236140,0.244889,0.000000,0.340195,0.088836,0.124371,0,4.636497,-1.414208,3.414214,3.000000
26.302000,3,0,0,-1.344409,-1.351668,3.004599,-0.298662,-0.286524,0.000000,0.413878,0.066944,0.093722,0,4.697184,-1.414208,-1.414213,3.000000
26.302000,3,0,1,3.356166,-1.344565,3.000561,0.302234,-0.309749,0.000000,0.432770,0.064765,0.090671,0,4.697184,3.414220,-1.414214,3.000000
26.302000,3,0,2,3.353548,3.352619,3.002389,0.312968,0.297133,0.000000,0.431551,0.061756,0.086458,0,4.697184,3.414220,3.414213,3.000000
26.302000,3,0,3,-1.354987,3.355613,3.001326,-0.283721,0.296917,0.000000,0.410679,0.059510,0.083314,0,4.697184,-1.414208,3.414214,3.000000
26.402000,3,0,0,-1.364291,-1.370604,3.005043,-0.198819,-0.189358,0.000000,0.274564,0.047345,0.066283,0,4.737737,-1.414208,-1.414213,3.000000
26.402000,3,0,1,3.376458,-1.365374,2.999917,0.202919,-0.208090,0.000000,0.290651,0.044097,0.061735,0,4.737737,3.414220,-1.414214,3.000000
26.402000,3,0,2,3.374615,3.372362,3.002576,0.210670,0.197436,0.000000,0.288726,0.041157,0.057620,0,4.737737,3.414220,3.414213,3.000000
26.402000,3,0,3,-1.373733,3.375433,3.001763,-0.187466,0.198199,0.000000,0.272812,0.040039,0.056055,0,4.737737,-1.414208,3.414214,3.000000
26.502000,3,0,0,-1.386630,-1.391761,3.005569,-0.223387,-0.211571,0.000000,0.307675,0.025401,0.035562,0,4.783574,-1.414208,-1.414213,3.000000
26.502000,3,0,1,3.399486,-1.389021,2.999150,0.230283,-0.236472,0.000000,0.330075,0.020846,0.029184,0,4.783574,3.414220,-1.414214,3.000000
